County,Year,Population,State
Overton County,2005,18899,Tennessee
Manassas Park city,2010,18900,Virginia
Saluda County,2020,18908,South Carolina
Saluda County,2021,18908,South Carolina
Westmoreland County,2023,18918,Virginia
Haywood County,2014,18929,Tennessee
Morgan County,2011,18950,Tennessee
Hampton County,2013,18972,South Carolina
Buchanan County,2023,18978,Virginia
Smith County,2015,18979,Tennessee
DeKalb County,2017,18987,Tennessee
Bristol city,2013,18991,Virginia
Humphreys County,2020,18996,Tennessee
Greene County,2014,19030,Virginia
King William County,2023,19035,Virginia
Humphreys County,2022,19046,Tennessee
Waynesboro city,2009,19046,Virginia
Hampton County,2012,19052,South Carolina
Manassas Park city,2009,19076,Virginia
Saluda County,2022,19086,South Carolina
Fairfax city,2011,19100,Virginia
Haywood County,2013,19110,Tennessee
Hampton County,2011,19131,South Carolina
Overton County,2006,19144,Tennessee
Union County,2018,19164,Tennessee
Morgan County,2012,19169,Tennessee
Humphreys County,2021,19179,Tennessee
Smith County,2016,19181,Tennessee
Grainger County,2009,19191,Tennessee
Hampton County,2010,19211,South Carolina
Bristol city,2012,19229,Virginia
King William County,2024,19232,Virginia
Westmoreland County,2024,19235,Virginia
Macon County,2008,19241,Tennessee
